Q231690	Bhimrao Ramji Ambedkar
Q328015	Almada
Q483992	William-Adolphe Bouguereau
Q70802	French Third Republic
Q211029	Edward O. Wilson
Q1645480	Wilson
Q553615	Léo Itaperuna
Q280658	forward
Q4761250	Andy Roddie
Q4093	Glasgow
Q5879	Johann Wolfgang von Goethe
Q2239191	Silesian Society for Patriotic Culture
Q2736254	José Fonte
Q1129440	Unió Mallorquina
Q9011481	Jeroni Albertí Picornell
Q6396344	Kevin Gallen
Q11998	Kylie Minogue
Q27870054	Minogue
Q332360	Denis Healey
Q1137694	Order of the Companions of Honour
Q2757	Lech Kaczyński
Q2004922	Stephen Dobbie
Q253163	Emir Spahić
Q1722	Dubrovnik
Q667711	Bryan Arguez
Q30	United States of America
Q44403	Heinrich Heine
Q43353	Aristophanes
Q174971	Hirobumi Itō
Q274948	Prime Minister of Japan
Q34670	Albert Camus
Q54019	Stanisław August Poniatowski
Q123885	Royal Society
Q896343	Bożena Haracz
Q6581072	female
Q342765	Arthur Griffith
Q12202	stroke
Q389850	Nicolás Olivera
Q3267254	Afro-Uruguayan
Q4355733	Elaine Kellett-Bowman
Q239	City of Brussels
Q7346	John Coltrane
Q8341	jazz
Q1350541	Steven Bochco
Q29496	leukemia
Q372939	Bogdan Stelea
Q5484987	Frank Allaun
Q84	London
Q20744244	Mikhail Zubchuk
Q649	Moscow
Q335078	Nigel Lawson
Q9626	Conservative Party
Q5598	Rembrandt
Q2142878	Rembrandt
Q1268	Frédéric Chopin
Q3816	George Sand
Q312334	Jared Borgetti
Q1243720	Dorados de Sinaloa
Q107441	Leonid Kantorovich
Q1141929	Military Engineering-Technical University
Q1026721	Daniele Cacia
Q2736	association football
Q11089714	Princess Pukang
Q686223	Li
Q314241	José Sosa
Q332712	Thomas Gibson
Q82955	politician
Q12665	Robert Baden-Powell, 1st Baron Baden-Powell
Q189290	military officer
Q86404	Karl-Friedrich Merten
Q55830045	Die Deutsche Kriegsmarine 1939-1945
Q2561540	José Luis Garcés
Q136433	PFC CSKA Sofia
Q173139	George Weah
Q180305	AS Monaco FC
Q274609	Pandora Peaks
Q17122834	blue
Q725831	Poul-Erik Høyer Larsen
Q2106710	Poul
Q1077904	Chris Zoricich
Q935369	Daniel Lanois
Q4992254	Grammy Award for Best Music Film
Q40096	Will Smith
Q21012774	Sheree Zampino
Q20739132	Carlo Bazzi
Q48973	Glenn T. Seaborg
Q3141777	Franklin Medal
Q5511638	Félix Ricardo Torres
Q733	Paraguay
Q55008046	Albert I of Belgium
Q222595	British Army
Q156799	Felipe González
Q5508901	Fundación Alternativas
Q4717698	Alex Rodman
Q1276	Leonard Cohen
Q7674573	Tadhg Crowley
Q76924	Karl-Theodor zu Guttenberg
Q8980072	Karl-Theodor zu Guttenberg
Q332919	Norman Fowler
Q3246797	Secretary of State for Transport
Q1506864	George Anson
Q1860	English
Q7528199	Sir Joseph Pease, 1st Baronet
Q385512	Andreu Mas-Colell
Q849697	doctorate
Q3132799	Henry George Ward
Q2748803	Iggy Azalea
Q1132127	hip hop culture
Q153224	Andrey Kolmogorov
Q234535	Great Soviet Encyclopedia
Q98423	Victor Graf von Reventlow-Criminil
Q12804544	U-1017
Q317953	Lawrence Summers
Q4765646	Anita Summers
Q2657139	Aleksandar Jevtić
Q947897	Sándor Torghelle
Q180885	Adriano Ferreira Martins
Q1905655	Martins
Q189119	Edward Morgan Forster
Q4263842	literary critic
Q10719917	Li Qi
Q9746	Emperor Xuanzong of Tang
Q42731	Fernando Torres
Q3873503	Spain national under-16 association football team
Q1358670	Gogita Gogua
Q2343015	Chkhorotsqu
Q367368	Cesare Bovo
Q2768	Torino F.C.
Q228616	Marta
Q155	Brazil
Q368833	Riccardo Allegretti
Q193592	midfielder
Q2133994	Ray Thornton
Q8663	Korean War
Q2388302	Oles Honchar
Q2630252	Baikove Cemetery
Q55704	Kedar Joshi
Q2091008	Master of Arts
Q5301612	Douglas Houghton, Baron Houghton of Sowerby
Q9630	Labour Party
Q37767	T. S. Eliot
Q8824867	Category:T. S. Eliot
Q5915564	William Knowland
Q6284645	Joseph Knowland
Q359819	Ōyama Iwao
Q159950	Russo-Japanese War
Q164622	Gail Emms
Q19819754	Gail
Q1687157	Jens Dowe
Q49351	Robert Robinson
Q2798428	Robinson
Q1332654	Jiří Jeslínek
Q44097	Marco Borriello
Q93356	Seamus Heaney
Q7287662	Ralph Howell
Q18156180	Ralph
Q2635589	Boris Rotenberg
Q4398632	Boris Rotenberg
Q218022	Alain Resnais
Q142	France
Q2227698	Andrey Makarevich
Q464199	Youddiph
Q348477	Gil Evans
Q8968305	Category:Gil Evans
Q11089070	Princess Xianfu
Q4286661	Giorgi Megreladze
Q230	Georgia
Q6679279	Lord George Cavendish
Q487996	Anatoliy Skripko
Q15980158	non-fiction writer
Q201392	Domenico Modugno
Q18558478	member of the Chamber of Deputies of the Italian Republic
Q428938	Juninho Cearense
Q20630259	Juninho
Q7350304	Robert Taylor
Q215868	Alice Walker
Q27851929	Candace Award
Q26321	Elizabeth Blackburn
Q675110	Darwin College
Q4755850	Andrei Lodis
Q75926	Robert Gysae
Q165558	Knight's Cross of the Iron Cross
Q6125007	Jake Speight
Q2431146	José Espinal
Q34820	Santo Domingo
Q5993891	Igor de Souza
Q353258	Mohamed Kader
Q845097	Sokodé
Q2121983	Jimmy Glass
Q180903	Natsume Sōseki
Q193196	University College London
Q5735159	Herbert Nield
Q8612	Andrew Johnson
Q80719	National Union Party
Q9161	Josip Broz Tito
Q1069127	lapsed Catholic
Q3852367	Matías Urbano
Q248789	S.D. Quito
Q295830	Paul Claudel
Q90	Paris
Q186525	Julius Nyerere
Q7241291	President of Tanzania
Q45682	Jean Sibelius
Q11865476	Jaakko Ilves
Q36233	Václav Havel
Q1841	Catholicism
Q157242	Alexander R. Todd, Baron Todd
Q5580	Albrecht Dürer
Q1698918	Johannisfriedhof
Q265935	Nick Brown
Q1395261	Irmantas Zelmikas
Q37	Lithuania
Q81244	Karl Popper
Q3810528	José María Vidal
Q18755442	José María
Q9588	Richard Nixon
Q1069140	Luis Miguel
Q8606579	Category:Luis Miguel
Q5590656	Thomas Burt
Q6751859	Mansour bin Abdulaziz Al Saud
Q171558	accident
Q1363420	Roy Wegerle
Q326449	Abram Petrovich Gannibal
Q19190511	New Encyclopedic Dictionary
Q333749	George Goschen, 1st Viscount Goschen
Q7406629	Salvatore Caturano
Q36859200	Caturano
Q7328258	Richard Page
Q260489	Jeremy Wright
Q6423963	Anglicanism
Q180619	Stephen Jay Gould
Q7325	Jewish people
Q1802106	Rory O'Hanlon
Q324968	Sergey Vavilov
Q6758285	Marcus Lipton
Q2563	Roman Herzog
Q20520130	Herzog
Q2478507	Dario Zahora
Q457158	Federico Mayor Zaragoza
Q7026	Catalan
Q16597	Jiang Zemin
Q17281242	mayor of Shanghai
Q2605551	Mehmet Hetemaj
Q33	Finland
Q14945417	Robert Grosvenor, 1st Baron Ebury
Q1199190	Denis Stracqualursi
Q5759238	Sir John Gilmour, 2nd Baronet
Q336750	Hercules Robinson, 1st Baron Rosmead
Q18819898	Hercules
Q1684700	Ramón Jáuregui
Q30185	mayor
Q477587	Douglas Clifton Brown, 1st Viscount Ruffside
Q332342	Trinity College
Q2628567	Rudolf Holsti
Q16291191	Woldemar
Q2082008	Oļegs Karavajevs
Q211	Latvia
Q669709	Martin Andresen
Q21501897	Andresen
Q333028	Enoch Powell
Q666063	National Library of Wales
Q444341	Didier Six
Q17978544	Didier
Q4359274	Tamaz Pertia
Q994	Tbilisi
Q322190	Christian Mikolajczak
Q566141	SSVg Velbert
Q338243	David Atkinson
Q6894000	Mohd Nizaruddin Yusof
Q3524047	Sentul, Kuala Lumpur
Q332385	Geoff Hoon
Q43475	Derby
Q8423	Cyrus the Great
Q2635530	Tomb of Cyrus the Great
Q55796	Peter Ustinov
Q167520	Jon Voight
Q7541523	Slovak Americans
Q2096967	Alyaksey Suchkow
Q3822445	Juan Quero
Q7323916	Richard Baker
Q19084840	The Dictionary of Australasian Biography, 1892
Q170111	Evangelical Church in Germany
Q6209550	Joe Dolan
Q1317	Osama bin Laden
Q851	Saudi Arabia
Q109417	Aggelos Charisteas
Q82595	Bundesliga
Q55433	Michelangelo Antonioni
Q9015524	Juan Francisco Viveros
Q6536483	Lewis Dark
Q16869414	Dark
Q2544868	Charles Spencer, 6th Earl Spencer
Q124234	St James’s
Q10720703	Princess Changfen
Q6539240	Li Ying
Q3810876	Juan Arostegui
Q949535	San Francisco
Q294467	Mladen Petrić
Q2331381	Croatia national under-21 football team
Q310791	Jules Michelet
Q154927	Haakon VII of Norway
Q32088028	Category:Haakon VII of Norway
Q255	Ludwig van Beethoven
Q1472	Crohn's disease
Q7486	Emperor Huizong of Song
Q76437	Karl Dönitz
Q7320	Nazi Party
Q382074	José Mari
Q8717	Seville
Q611501	Tommaso Berni
Q2266580	Italy national under-19 football team
Q936976	Henry IV of France
Q49581149	sovereign of Navarre
Q434786	Arnaldo Forlani
Q55087756	Forlani
Q105552	Birgit Michels
Q13141064	badminton player
Q151872	Amos Oz
Q2054	Seneca
Q615522	L'incoronazione di Poppea
Q41688	Hendrik Lorentz
Q43631	Leiden
Q10301339	Ilias Solakis
Q3792453	Igor Zaniolo
Q13529901	Ian Fraser, Baron Fraser of Lonsdale
Q361	World War I
Q314734	Anthony Annan
Q685579	Lee Barnard
Q763126	Vidadi Rzayev
Q183713	Théophile Gautier
Q3260930	Louis-Édouard Rioult
Q5464231	Fola Onibuje
Q3161065	James Emerson Tennent
Q17092325	Imperial Dictionary of Universal Biography
Q9068	Voltaire
Q4345832	Saint Petersburg Academy of Sciences
Q5728772	Henry Strangways
Q51267959	Encounter Bay colonial by-election, 1858
Q1396931	Kevin Kyle
Q7371	Federico Fellini
Q936364	Édouard Deldevez
Q3355288	Orchestre de l'Opéra national de Paris
Q6500830	Laurence Pavitt
Q786523	Buenaventura Ferreira
Q36591	Vladimir Nabokov
Q69354	Montreux
Q157701	Jaroslav Heyrovský
Q4221627	Hristijan Kirovski
Q1774715	Maximiliano Estévez
Q276533	Racing Club de Avellaneda
Q279673	Pablo Gabriel García
Q639340	Pando
Q3301513	Maurice Viollette
Q1472321	Maurice
Q898430	Eddie Nolan
Q27	Republic of Ireland
Q4715848	Aleksei Martynov
Q898	Omsk
Q7153576	Paul Shields
Q211950	Dunfermline
Q5599	Peter Paul Rubens
Q2793400	Peter
Q4795544	Aron Wilford
Q18410868	Aron
Q22750	Maurice Genevoix
Q10719160	Li Tan
Q28482172	House of Li
Q152274	Edvard Beneš
Q958157	Sezimovo Ústí
Q47426	Milton Friedman
Q3739104	natural causes
Q2441504	Catanha
Q1399304	Michael O'Kennedy
Q918372	Nenagh
Q13529927	George Harcourt
Q443166	Bob Rock
Q332870	Archie Hamilton, Baron Hamilton of Epsom
Q381269	Igor Budan
Q28038713	Igor
Q2634639	Cristián Montecinos
Q298	Chile
Q5982073	Ian Lloyd
Q53438	Augustus III of Poland
Q75809	Lutheranism
Q34105	Hosni Mubarak
Q15618993	President of Egypt
Q318226	Stefano Fiore
Q102920	UEFA Euro 2004
Q1328056	Eleonore Dörner
Q1628815	Wolfgang Stammler
Q2071	David Lynch
Q29552	Democratic Party
Q1666239	Martin Guggisberg
Q445747	Di Renjie
Q216594	Ed Miliband
Q174570	London School of Economics and Political Science
Q330798	Vittorio Tosto
Q336286	defender
Q333087	Judith Hart
Q313201	Sergio García de la Fuente
Q1129595	Spain national under-21 association football team
Q1384696	Valerio Virga
Q17524272	Valerio
Q326126	James Stansfeld
Q6162779	Jason Jarrett
Q2630093	Jason
Q116854	Philippa Boyens
Q19961860	Philippa
Q51056	Franz Joseph I of Austria
Q57653	Princess Sophie of Bavaria
Q1682992	John Henry Whitley
Q312507	Nélson Oliveira
Q1772776	Portugal national under-20 football team
Q464862	Dora Bakoyannis
Q552751	Kyriakos Mitsotakis
Q261687	Jacqueline de Romilly
Q7182441	Phil Stant
Q48249	Falklands War
Q2133871	Ray Burke
Q6865747	Minister for Tourism, Culture, Arts, Gaeltacht, Sport and Media
Q311372	Albertito Luque
Q16193316	John Rau
Q21498382	Rau
Q3180992	John Bannon
Q15575	Flinders University
Q2750857	Luis Martinez Noval
Q14317	Oviedo
Q7457109	Sevasti Todua
Q334990	Bernard Freyberg, 1st Baron Freyberg
Q1064904	major trauma
Q359568	Vladimir Obruchev
Q4059137	list of members of the Academy of Sciences of the USSR
Q713235	Jean-Louis Debré
Q150	French
Q952335	Francis Jeffers
Q2351183	Marko Perović
Q192606	Leskovac
Q24841146	House of Aisin-Gioro
Q271715	Christopher Chope
Q1084472	Christopher
Q333158	Donald Dewar
Q171834	Aldo Moro
Q9002957	Category:Aldo Moro
Q307996	Abdellatif Kechiche
Q3572	Tunis
Q38111	Leonardo DiCaprio
Q22343639	Template:Leonardo DiCaprio
Q128967	Edward Heath
Q1367062	José María de Areilza, Count of Motrico
Q2447229	1979 Spanish general election
Q63183	Philipp August Böckh
Q101357	Christian Friedrich von Boeckh
Q151414	George Marshall
Q1331037	General of the Army
Q8442	Otto von Bismarck
Q602358	Brockhaus and Efron Encyclopedic Dictionary
Q2265728	Arturo Lupoli
Q34296	Woodrow Wilson
Q2657718	Armenian Soviet Encyclopedia
Q956333	Marko Topić
Q303044	Oštra Luka
Q5230614	David Adekola
Q190168	Yoruba people
Q957871	Alexandro Alves do Nascimento
Q155712	André Previn
Q1185037	Beverly Hills High School
Q1396546	Jesús Mendoza
Q39138769	José de Jesús
Q155790	Eugene Wigner
Q163087	Michael Polanyi
Q128560	Graham Greene
Q2439701	Dos Passos Prize
Q69028	Friedrich Gottlieb Welcker
Q317053	University of Giessen
Q13595311	Joel Coen
Q7613301	Steve Mautone
Q37468686	Mautone
Q4244713	Oleg Kuzhlev
Q18523982	Oleg
Q4476175	John Ward
Q622441	Liberal Party
Q4776549	Antonio Croce
Q96624	Nico Frommer
Q3012	Ulm
Q104190	Robert Walpole
Q215248	Order of the Garter
Q60206	Ariel Sharon
Q631505	Michael P. Kitt
Q719709	Ibrahim Maaroufi
Q575054	Nick Raynsford
Q3265654	Lucien Neuwirth
Q2750055	Soledad Becerril
Q2807	Madrid
Q23685	Jimmy Carter
Q6133272	James Earl Carter Sr.
Q333321	Harold Lever, Baron Lever of Manchester
Q1781	Budapest
Q367132	Francesco Saverio Nitti
Q652	Italian
Q168540	Roger Milla
Q46002746	Dictionary of African Biography
Q55260	David Lean
Q372701	esophageal cancer
Q335133	Henry Paget, 1st Marquess of Anglesey
Q2379284	Séamus Burke
Q709973	Jean-Paul Rappeneau
Q293025	Ólafur Thors
Q1764	Reykjavík
Q6724095	Maciel Lima Barbosa da Cunha
Q110017	Caxias do Sul
Q3610158	Alessandro Monticciolo
Q1398189	Robert Malm
Q11256	Fidel Castro
Q371402	Communist Party of Cuba
Q12963	François Bayrou
Q38849	Shintarō Ishihara
Q1620096	Hirabayashi Taiko Prize
Q126215	Heinrich Heydemann
Q2814	Halle (Saale)
Q966694	Mark Strudal
Q35	Denmark
Q519030	Antonio de Nigris
Q1254883	Rodrigo Gral
Q17479	Clube de Regatas do Flamengo
Q2438140	Paul Hall
Q7529108	Sir Thomas Dyke Acland, 11th Baronet
Q23045945	Acland
Q332789	Edward Stanley, 15th Earl of Derby
Q2331622	Stanley
Q83006	David Villa
Q11459	Serena Williams
Q847	tennis
Q77174	Christiane Nüsslein-Volhard
Q50662	Goethe University Frankfurt
Q1494468	Robert Maclennan, Baron Maclennan of Rogart
Q2060162	Anatoliy Kitsuta
Q5593	Pablo Picasso
Q308907	Lenin Peace Prize
Q535	Victor Hugo
Q3927614	Nazi book burnings
Q6239851	John Horam
Q256754	St Catharine's College, Cambridge
Q701262	Military Merit Cross
Q51525	Miloš Forman
Q49198	Danbury
Q11753	Heinz Fischer
Q108316	Alexander VI
Q64574	Hans-Dietrich von Tiesenhausen
Q151701	Kriegsmarine
Q2218994	Samuel W. Ferguson
Q1252250	Shelley Thompson
Q649299	Regis University
Q722458	Damian Mori
Q839997	Brisbane Roar FC
Q368441	James Rodríguez
Q21665839	Daniela Ospina
Q348577	Tony Abbott
Q16148252	Margie Abbott
Q1307319	Sture Johnsson
Q7291	badminton
Q320194	Rashidi Yekini
Q1033	Nigeria
Q5497940	Frederick Hall
Q23505	George H. W. Bush
Q19831451	O
Q130873	Menachem Begin
Q12152	myocardial infarction
Q178903	Alexander Hamilton
Q42189	Federalist Party
Q314126	Jan Laštůvka
Q213	Czech Republic
Q264618	Ben Bradshaw
Q338044	Denzil Davies
Q25	Wales
Q310737	Valeri Bojinov
Q8623	Ternana Calcio
Q1054887	Sayuri Yoshinaga
Q296698	Costa-Gavras
Q2833696	Alexandre Gavras
Q153776	Dmitri Kabalevsky
Q215539	Moscow Conservatory
Q822768	Bernard Weatherill
Q14649171	Bernard
Q336036	Rufus Isaacs, 1st Marquess of Reading
Q925942	Middle Temple
Q310730	John Mensah
Q1840470	Azamat Abduraimov
Q188793	Joan Capdevila
Q5333	Charles Lyell
Q1348323	Principles of Geology
Q216288	Garth Brooks
Q272098	Derek Twigg
Q268875	Herbert Bowden, Baron Aylestone
Q234961	Edith Head
Q643858	Aristide Bancé
Q646079	Beerschot A.C.
Q247050	Mariano Trípodi
Q568979	Mariano
Q4965250	Brian Sedgemore
Q6142467	James Round
Q433116	Marie Pierre Kœnig
Q55080872	Kœnig
Q9036	Nikola Tesla
Q1906857	mechanical engineer
Q170842	Sergei Korolev
Q34266	Russian Empire
Q333426	Edward Wood, 1st Earl of Halifax
Q163	Yorkshire
Q1701283	John M. O'Sullivan
Q332709	Giovanni Spadolini
Q1158906	Giovanni
Q3182215	John Olsen
Q9684829	Officer of the Order of Australia
Q986324	Matteo Ardemagni
Q2755428	A.S. Pizzighettone
Q16397	Bruce Lee
Q999092	Jesse Glover
Q647438	Mário Sérgio Pontes de Paiva
Q1930187	journalist
Q333628	Lord George Hamilton
Q678259	Nordisk familjebok
Q81082	Henri Poincaré
Q7754	mathematical analysis
Q16867	Edgar Allan Poe
Q9212	United States Army
Q37388	Francis Bacon
Q954523	Václav Drobný
Q180139	Hradec Králové
Q5258176	Dennis Bailey
Q19462	Charlton Athletic F.C.
Q639292	Dennis
Q6915696	Moses Ashikodi
Q9093385	Vicenç Villatoro i Lamolla
Q2945260	Centre de Cultura Contemporània de Barcelona
Q928137	Marcelo Ramos
Q274465	E.C. Vitória
Q323488	Roy Jenkins
Q362	World War II
Q464846	Liam Miller
Q1822658	Liam
Q9013147	Josep Laporte i Salas
Q327591	independent politician
Q295431	Julian Barnes
Q186424	detective fiction
Q333019	Thomas Inskip, 1st Viscount Caldecote
Q10719817	Li Bin
Q19560776	Hugh Hudson
Q7056909	North Sydney Boys High School
Q13452531	Commandeur des Arts et des Lettres‎
Q384078	Tony Robert-Fleury
Q2156271	Robert
Q4272902	Sonia Couling
Q17122740	hazel
Q330245	Francesco Cozza
Q224650	Sarah McLachlan
Q1124849	Verve Records
Q9696	John F. Kennedy
Q5942750	José María Cases
Q463303	American Academy of Arts and Sciences
Q1886983	Malcolm Chisholm
Q204272	Toni Kallio
Q9049	Noam Chomsky
Q7066	atheism
Q4708039	Alan White
Q294833	Alan
Q333355	John Spencer-Churchill, 7th Duke of Marlborough
Q2262270	Luca Vigiani
Q689383	Jimmy Hood
Q4166211	Jimmy
Q156749	Adolf Erik Nordenskiöld
Q1757	Helsinki
Q113937	Fritz Schachermeyr
Q1322586	Urfahr
Q7416	Margaret Thatcher
Q846683	Grantham
Q1111220	David Andrews
Q166655	Andrzej Kubica
Q8015	Artur Mas
Q4740163	Carles Puigdemont
Q9061	Karl Marx
Q153232	Jean le Rond d'Alembert
Q537551	Revazi Barabadze
Q2788132	FC Tbilisi
Q490744	Alameda
Q23342	Edmund Barton
Q20739687	Jane Barton
Q11975	Britney Spears
Q151556	Richard Owen
Q55254300	Category:Richard Owen
Q134817	Abdul Hamid II
Q432	Islam
Q6257849	John Silkin
Q3301	Charles Martel
Q184407	Basilica of Saint-Denis
Q1710167	João Luiz Ferreira da Silva
Q140497	Zagłębie Lubin
Q3846493	Marco Sgrò
Q289029	U.S. Ancona
Q337552	Derek Conway
Q134085	Jean Perrin
Q24954950	Great Gold medal of the Société d'Encouragement au Progrès
Q102462	James Stewart
Q1237907	Dominik Werling
Q2910	Ludwigshafen
Q1701309	John P. Wilson
Q1860208	National University of Ireland
Q968439	Seán Moylan
Q31747	Irish Free State
Q49128	Drew Faust
Q16870193	Gilpin
Q23844	George Clooney
Q2900388	Beverly Hills Playhouse
Q60025	Hannah Arendt
Q641974	Arendt
Q6235026	John Gayle
Q2936311	Solihull Borough F.C.
Q1047	Jawaharlal Nehru
Q380148	Motilal Nehru
Q6249506	John Morrison, 1st Baron Margadale
Q37459	Nicole Kidman
Q42722842	Paradise Papers
Q50005	Giulio Andreotti
Q1633152	Pontifical Academy of Mary
Q130822	William IV
Q232214	Julieta Venegas
Q1933702	Mikkel Andersen
Q312013	Konstantinos Mitsotakis
Q14928422	Kyriakos Κ. Mitsotakis
Q3195530	Kert Kütt
Q201330	goalkeeper
Q3888721	Paddy Sloan
Q15838080	Paddy
Q134307	portrait
Q314113	Adrián López Álvarez
Q55392	Louis Malle
Q128604	Lester B. Pearson
Q960957	Josip Tadić
Q224	Croatia
Q501089	Andrew Robathan
Q14611840	Ruslan Ivashko
Q4235	Miley Cyrus
Q37137	contralto
Q186465	Julian Schwinger
Q537978	José Devaca
Q29043257	José
Q346	Louis IX of France
Q179544	Capetian dynasty
Q1372775	Aleksandr Prudnikov
Q312845	Daniel Inouye
Q61	Washington, D.C.
Q19848	Lady Gaga
Q9592	Catholic Church
Q2187367	James Quinn
Q26	Northern Ireland
Q7186	Marie Curie
Q4021169	Władysław Skłodowski
Q3816420	Konstantīns Igošins
Q333004	John Buchan
Q11685794	Andrei Zavyalov
Q628099	association football manager
Q342770	Robert Earnshaw
Q21491597	Earnshaw
Q300292	Jeffrey Donaldson
Q4706627	Alan Fitch
Q14915274	Fitch
Q324209	Marijo Marić
Q1339529	Emrah Eren
Q406	Istanbul
Q151164	André Malraux
Q2526255	film director
Q3610706	Alex Pederzoli
Q334165	Arthur Peel
Q6039520	William Peel
Q5730342	Henry Wilson
Q78525	Richard Nikolaus von Coudenhove-Kalergi
Q5349231	Eijirō
Q443579	Ingo Kindervater
Q193052	Pau Gasol
Q5658475	Adrià Gasol
Q299595	Vannevar Bush
Q49120	Tufts University
Q76356	Hans-Georg Gadamer
Q833738	Heidelberg Academy for Sciences and Humanities
Q1097848	Claudia Vogelgsang
Q117144	Miklós Horthy
Q76519	Rudolf Carnap
Q57196	Franz Brentano
Q7626534	Stuart Fleetwood
Q7626248	Stuart
Q312819	Grand Duke Vladimir Alexandrovich of Russia
Q7586603	Srđan Lopičić
Q15633287	Srđan
Q111436	Elmer Bernstein
Q4614	University of Southern California
Q6769023	Mark Nicholls
Q104372	Doris Day
Q377835	Adrián Colunga
Q383010	Pérez
Q1701267	Vlada Chernyavskaya
Q2492102	Henry Pelham-Clinton, 5th Duke of Newcastle
Q15987216	Dictionary of National Biography, 1885–1900
Q5725113	Henry Lowther
Q1341516	Westminster School
Q186304	Kim Kardashian
Q211236	celebrity
Q7052612	Norman Miscampbell
Q3742153	Felice Foglia
Q132345	Shinzō Abe
Q17277932	Yōko Kishi
Q381394	Nelson Cuevas
Q21502138	Cuevas
Q16232265	João Paulo Neto Martins
Q45	Portugal
Q18721924	Category:Itō Hirobumi
Q17579875	Mauro Bastos
Q597	Lisbon
Q42156	Henri Bergson
Q173022	bronchitis
Q362061	Steve Kloves
Q657587	Che Bunce
Q664	New Zealand
Q12072266	Henry Vivian, 1st Baron Swansea
Q273228	Amintore Fanfani
Q3676869	Cimitero Flaminio
Q102139	Margrethe II of Denmark
Q3065853	House of Monpezat
Q3757012	Gaetano Grieco
Q4134361	Gaetano
Q1367019	Jaume Matas
Q3119725	Spanish Ministry of the Environment
Q333066	Paddy Ashdown
Q19008	Arthur Balfour
Q1964408	Nan Hoover
Q316514	Museum Wiesbaden
Q296630	Jason Robards
Q450984	Henry Cabot Lodge Jr.
Q6544459	lieutenant colonel
Q315989	Thomas Babington Macaulay, 1st Baron Macaulay
Q5933	Westminster Abbey
Q4236636	Artur Kocharyan
Q7939860	Vojta Beneš
Q333199	Timothy Michael Healy
Q1615	Neil Armstrong
Q620629	deism
Q40874	Doris Lessing
Q5539682	George Gibbs, 1st Baron Wraxall
Q15921732	George
Q208706	Stipe Pletikosa
Q724466	Joël Epalle
Q3808	Yaoundé
Q263147	John Bercow
Q964758	Robert Blair
Q27866998	2006 European Badminton Championships – men's doubles
Q55168	Thodoros Angelopoulos
Q1233993	Documenta 6
Q1534557	Robert Briscoe
Q4527179	Serhiy Shubin
Q501947	Andrei Cristea
Q215514	Jason Culina
Q221927	De Graafschap
Q34424	Shakira
Q841162	Peligro
Q319196	China Miéville
Q6113617	Jack Lawson
Q1480896	The Right Honourable
Q664686	Dedi Ben Dayan
Q801	Israel
Q4914194	Bingham Baring, 2nd Baron Ashburton
Q106383	Isabelle Adjani
Q508766	La Reine Margot
Q40787	Nicholas II of Russia
Q2618625	Emperor of all the Russias
Q1065	United Nations
Q18155976	Antoine Petit
Q273604	École normale supérieure Paris-Saclay
Q877394	Sercan Güvenışık
Q188	German
Q4166934	Serhiy Doronchenko
Q5239	Vladikavkaz
Q543725	Charles Takyi
Q7678673	Takyi
Q2013884	Ibán Espadas
Q311440	António Guterres
Q61753	Friedrich Hirzebruch
